Mean,Median,Mode,Kurtosis,Skewness,Standard Deviation,Variance,Standard Error,Max,Min,Sum,Range,2nd Quartile,RMS,Count,Shape Factor,Impulse Factor,K Factor,Condition
0.001271101,-0.001382939,-0.026937235,0.017651654,0.059562065,0.113323347,0.012842181,0.002069337,0.38421637,-0.37952641,3.813302575,0.76374278,-0.001382939,0.113330475,3000,1.255028082,4.25483377,0.294965244,Healthy
-0.001126273,-0.003968432,-0.028139791,0.12285382,0.025281596,0.119431827,0.014263961,0.00218088,0.41548279,-0.49160454,-3.378819197,0.90708733,-0.003968432,0.119437138,3000,1.261224711,5.191214439,0.242953691,Healthy
-0.001247571,-0.000120256,0.032108221,0.167996924,0.01214643,0.110575568,0.012226956,0.002019161,0.40045086,-0.43316036,-3.742711906,0.83361122,-0.000120256,0.110582606,3000,1.262449673,4.945110059,0.255292533,Healthy
0.001757534,0.005291243,-0.037519719,0.666826711,-0.054286589,0.125703685,0.015801417,0.002295407,0.50567442,-0.55678302,5.272602857,1.06245744,0.005291243,0.125715971,3000,1.292170855,5.722890917,0.22578988,Healthy
0.000825554,-0.000901917,-0.007696353,0.347133475,0.064228398,0.122284036,0.014953385,0.002232963,0.47609156,-0.46322423,2.476661883,0.93931579,-0.000901917,0.122286822,3000,1.274371068,4.961428372,0.256855682,Healthy
0.00060248,0.001563322,-0.022848547,0.429409662,0.01629866,0.103824593,0.010779546,0.001895885,0.46105963,-0.3732731,1.807440209,0.83433273,0.001563322,0.103826341,3000,1.278012789,5.675246751,0.2251907,Healthy
-0.000938955,0.002044344,0.022367526,0.217104816,-0.07265553,0.102398286,0.010485409,0.00186984,0.35715887,-0.36136782,-2.816865325,0.71852669,0.002044344,0.102402591,3000,1.282621417,4.526234149,0.283374959,Healthy
-0.001494616,-0.003246899,-0.011063507,0.224208932,0.056175366,0.101039698,0.010209021,0.001845032,0.40369776,-0.34994355,-4.483847021,0.75364131,-0.003246899,0.101050752,3000,1.268090802,5.066022843,0.250312887,Healthy
-0.001117134,-0.001443066,-0.001803833,0.261664158,-0.082231521,0.102822962,0.010572562,0.001877595,0.36593753,-0.37026674,-3.351400894,0.73620427,-0.001443066,0.102829031,3000,1.270528126,4.574917265,0.277716088,Healthy
0.000901195,0.001563322,0.041007131,0.165745787,0.00616289,0.113655927,0.01291767,0.00207541,0.42341965,-0.39299503,2.703584256,0.81641468,0.001563322,0.113659499,3000,1.265507276,4.714437868,0.268432274,Healthy
